Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
First Assembly Of God Church,618-377-8733,62010,"526 Courtesy Ln, Bethalto, IL, 62010",Assemblies of God,MO,
First Christian Church,618-377-9259,62010,"724 E Bethalto Blvd, Bethalto, IL, 62010",Church of Christ,MO,
Grace Community Nazarene Church,618-377-0579,62010,"729 Albers Ln, Bethalto, IL, 62010",Nazarene,MO,
Hearts Harvest Fellowship,618-377-8277,62010,"111 Sheridan St, Bethalto, IL, 62010",Nondenominational,MO,
Landmark United Pentecostal Church,618-377-2300,62010,"302 E Central St, Bethalto, IL, 62010",United Pentecostal,MO,
Meadowbrook First Church Of God,618-377-8804,62010,"226 Maple Dr, Bethalto, IL, 62010",Church of God (Anderson IN),MO,
New Wine Fellowship,618-377-3312,62010,"331 Ridge Dr, Bethalto, IL, 62010",Nondenominational,MO,
Our Lady Queen Of Peace Church,618-377-6519,62010,"PO Box 100, Bethalto, IL, 62010",Roman Catholic,MO,
Zion Lutheran Church,618-377-8314,62010,"625 Church Dr, Bethalto, IL, 62010",Lutheran - Missouri Synod,MO,
Canaan Chapel Church Of God,217-826-2089,62011,"RR 1 Box 68A, Bingham, IL, 62011",Church of God (Anderson IN),MO,
Brighton Christian Church,618-372-4132,62012,"PO Box 625, Brighton, IL, 62012",Church of Christ,MO,
Cornerstone Church,618-372-8782,62012,"16453 State Highway 111, Brighton, IL, 62012",Nondenominational,MO,
Faith Evangelical Foursquare Center,618-251-5105,62012,"PO Box 345, Brighton, IL, 62012",Foursquare Gospel,MO,
First Assembly Of God Church,618-372-3820,62012,"PO Box 578, Brighton, IL, 62012",Assemblies of God,MO,
First Baptist Church,618-372-3201,62012,"PO Box 338, Brighton, IL, 62012",Baptist,MO,
First Presbyterian Church,618-372-8241,62012,"PO Box 638, Brighton, IL, 62012",Presbyterian Church (U.S.A.),MO,
Paradise Baptist Church,618-498-4672,62052,"21417 Grange Hall Rd, Jerseyville, IL, 62052",Southern Baptist,MO,
St Alphonsus Church,618-372-3352,62012,"918 N Main St, Brighton, IL, 62012",Roman Catholic,MO,
St Johns United Church Of Christ,618-372-3737,62012,"PO Box 418, Brighton, IL, 62012",United Church of Christ,MO,
St Paul United Methodist Church,618-372-3255,62012,"PO Box 457, Brighton, IL, 62012",United Methodist,MO,
Trinity Fellowship Church,618-531-9188,62012,"9026 Dallas Dr, Brighton, IL, 62012",Evangelical Presbyterian,MO,
Word Of Truth & Light Ministry,618-467-2705,62012,"7805 Jarret Ln, Brighton, IL, 62012",Other,MO,
St Barbara Church,618-883-2400,62013,"PO Box 38, Brussels, IL, 62013",Roman Catholic,MO,
St Matthew Lutheran Church,618-883-2351,62013,"Hc 82 Box 20A, Brussels, IL, 62013",Lutheran - Missouri Synod,MO,
Berean Baptist Church,618-585-4544,62014,"PO Box Aa, Bunker Hill, IL, 62014",General Baptist,MO,
Bunker Hill Baptist Church,618-585-3295,62014,"503 S Clinton St, Bunker Hill, IL, 62014",Southern Baptist,MO,
Calvary Baptist Church,618-278-4544,62014,"3499 Chestnut St, Bunker Hill, IL, 62014",General Baptist,MO,
Disciples Fellowship,618-585-6206,62014,"PO Box 457, Bunker Hill, IL, 62014",Interdenominational,MO,
First Assembly Of God Church,618-585-3514,62014,"PO Box F, Bunker Hill, IL, 62014",Assemblies of God,MO,
First Congregational Church,618-585-3164,62014,"PO Box 448, Bunker Hill, IL, 62014",United Church of Christ,MO,
Holy Cross Church,618-585-4700,62014,"PO Box Ah, Bunker Hill, IL, 62014",Roman Catholic,MO,
Medora United Methodist Church,618-585-4708,62014,"PO Box 398, Bunker Hill, IL, 62014",United Methodist,MO,
St Chads Anglican Church,618-585-6601,62014,"403 E Morgan St, Bunker Hill, IL, 62014",Episcopal,MO,
Woodburn Congregational Church,618-278-4230,62014,"PO Box 368, Bunker Hill, IL, 62014",Other,MO,
Zion Lutheran Church,618-585-3606,62014,"PO Box 366, Bunker Hill, IL, 62014",Lutheran - Missouri Synod,MO,
Wares Grove Lutheran Church,217-532-2685,62015,"PO Box 163, Butler, IL, 62015",Evangelical Lutheran in America,MO,
Assembly Of God Church,217-942-6274,62016,"703 4th St, Carrollton, IL, 62016",Assemblies of God,MO,
Believers Baptist Church,217-942-3007,62016,"RR 3 Box 47A, Carrollton, IL, 62016",Baptist,MO,
Berdan Baptist Church,217-942-5565,62016,"RR 1 Box 145, Carrollton, IL, 62016",American Baptist,MO,
Church Of Christ,217-942-5576,62016,"356 N Main St, Carrollton, IL, 62016",Church of Christ,MO,
Faith Baptist Church,217-942-5115,62016,"RR 1 Box 169, Carrollton, IL, 62016",Southern Baptist,MO,
First Baptist Church,217-942-6633,62016,"PO Box 288, Carrollton, IL, 62016",American Baptist,MO,
First Presbyterian Church,217-942-6808,62016,"PO Box 244, Carrollton, IL, 62016",Presbyterian Church (U.S.A.),MO,
Our Redeemer Lutheran Church,217-942-3168,62016,"208 7th St, Carrollton, IL, 62016",Lutheran - Missouri Synod,MO,
Providence Baptist Church,217-374-2420,62016,"RR 1 Box 290, Carrollton, IL, 62016",Southern Baptist,MO,
St John The Evangelist Church,217-942-3551,62016,"414 3rd St, Carrollton, IL, 62016",Roman Catholic,MO,
White Hall United Methodist Church,217-374-2528,62016,"426 Maple St, Carrollton, IL, 62016",United Methodist,MO,
Coffeen Free Methodist Church,217-534-6304,62017,"207 S Church St, Coffeen, IL, 62017",Methodist,MO,
Coffeen United Methodist Church,217-534-2218,62017,"PO Box 208, Coffeen, IL, 62017",United Methodist,MO,
East Fork Baptist Church,217-324-5572,62017,"400 W 1st St, Coffeen, IL, 62017",Southern Baptist,MO,
Mount Moriah Baptist Church,618-664-3434,62017,"RR 1, Coffeen, IL, 62017",Southern Baptist,MO,
New Life Assembly Of God Church,217-534-2401,62017,"PO Box 317, Coffeen, IL, 62017",Assemblies of God,MO,
St John The Baptist Church,217-534-2220,62017,"PO Box 278, Coffeen, IL, 62017",Roman Catholic,MO,
Bible Baptist Church,618-259-4196,62018,"11 W Macarthur Dr, Cottage Hills, IL, 62018",Baptist,MO,
Concordia Lutheran Church,618-259-2911,62018,"21 Circle Dr, Cottage Hills, IL, 62018",Lutheran - Missouri Synod,MO,
Cottage Hills Baptist Church,618-259-6512,62018,"98 Cottage Ave, Cottage Hills, IL, 62018",General Baptist,MO,
First Baptist Church,618-259-2400,62018,"200 N Williams St, Cottage Hills, IL, 62018",American Baptist,MO,
First Home First Southern Baptist Church,618-259-2388,62018,"PO Box 69, Cottage Hills, IL, 62018",Southern Baptist,MO,
Grace Community Church,618-258-8633,62018,"20 Harvel Ct, Cottage Hills, IL, 62018",Interdenominational,MO,
Kingdom Hall Of Jehovahs,618-258-0502,62018,"527 Ruth Ave, Cottage Hills, IL, 62018",Jehovah's Witnesses,MO,
Butler Presbyterian Church,217-537-3227,62019,"PO Box 29, Donnellson, IL, 62019",Presbyterian Church (U.S.A.),MO,
Donnellson First Baptist Church,217-537-3637,62019,"PO Box 76, Donnellson, IL, 62019",Southern Baptist,MO,
Donnellson Seventh Day Adventist,217-537-3838,62019,"601 Washington St, Donnellson, IL, 62019",Seventh-Day Adventist,MO,
Emmaus Lutheran Church,618-377-6221,62021,"5215 Loop Rd, Dorsey, IL, 62021",Lutheran - Missouri Synod,MO,
St Peter Lutheran Church,618-888-2250,62021,"7182 Renken Rd, Dorsey, IL, 62021",Lutheran - Missouri Synod,MO,
Dow Southern Baptist Church,618-885-5029,62022,"PO Box 60, Dow, IL, 62022",Southern Baptist,MO,
Newbern Assembly Of God Church,618-466-0240,62022,"PO Box 32, Dow, IL, 62022",Assemblies of God,MO,
Assembly Of God Church,618-259-4388,62024,"PO Box 147, East Alton, IL, 62024",Assemblies of God,MO,
Calvary Assembly Of God Church,618-259-5525,62024,"PO Box 359, East Alton, IL, 62024",Assemblies of God,MO,
Cathedral Of Y'shua Worship Center,(618) 332-1200,62206,"303 West Fourth Street, Cahokia, IL, 62206",Christian (Disciples of Christ),MO,
Christs Church,618-259-5010,62024,"506 E Airline Dr, East Alton, IL, 62024",Christian (Disciples of Christ),MO,
Church Of Christ,618-259-7532,62024,"450 E Airline Dr, East Alton, IL, 62024",Church of Christ,MO,
Church Of God Of Prophecy,618-254-3739,62024,"226 S Pence St, East Alton, IL, 62024",Church  of God of Prophecy,MO,
Community Of Christ,618-259-0780,62024,"602 S Bellwood Dr, East Alton, IL, 62024",Mormon,MO,
Counseling For Christ Ministries,618-259-4659,62024,"PO Box 516, East Alton, IL, 62024",Other,MO,
First General Baptist Church,618-259-7719,62024,"86 Tomlinson St, East Alton, IL, 62024",Baptist,MO,
First Rosewood Hts Baptist Church,618-259-2715,62024,"50 E Rosewood Dr, East Alton, IL, 62024",American Baptist,MO,
First United Baptist Church,618-259-7321,62024,"400 Bowman Ave, East Alton, IL, 62024",American Baptist,MO,
First United Methodist Church,618-259-1306,62024,"800 Vernon St, East Alton, IL, 62024",United Methodist,MO,
Friendship General Baptist Church,618-259-8322,62024,"319 W Main St, East Alton, IL, 62024",Baptist,MO,
Maranatha Fellowship,618-259-2162,62024,"616 Lincoln Ave, East Alton, IL, 62024",Pentecostal,MO,
River Bend Calvary Chapel,618-258-7211,62024,"400 N Center St, East Alton, IL, 62024",Other,MO,
Rosewood Hts United Methodist Church,618-259-5210,62024,"10 N Center St, East Alton, IL, 62024",United Methodist,MO,
St Kevins Church,618-259-3363,62024,"108 E Airwood Dr, East Alton, IL, 62024",Roman Catholic,MO,
Abundant Life Christian Center,618-659-0630,62025,"1203 S Oxfordshire Ln, Edwardsville, IL, 62025",Nondenominational,MO,
Alpha House Fellowship,618-656-1844,62025,"118 S Fillmore St, Edwardsville, IL, 62025",Nondenominational,MO,
Apostolic Tabernacle United Pentecostal Church,618-692-1312,62025,"PO Box 609, Edwardsville, IL, 62025",United Pentecostal,MO,
Assembly Of God Church,618-656-6436,62025,"417 Saint Louis St, Edwardsville, IL, 62025",Assemblies of God,MO,
Calvary Baptist Church,618-656-4100,62025,"2249 S State Route 157, Edwardsville, IL, 62025",Southern Baptist,MO,
Center Grove Presbyterian Church,618-656-9485,62025,"6279 Center Grove Rd, Edwardsville, IL, 62025",Presbyterian Church in America,MO,
Church God In Christ Congregational,618-656-1860,62025,"6939 Marine Rd, Edwardsville, IL, 62025",Interdenominational,MO,
Eden United Church Of Christ,618-656-4330,62025,"903 N 2nd St, Edwardsville, IL, 62025",United Church of Christ,MO,
Esic Baptist Church,618-656-0680,62025,"1000 University Dr, Edwardsville, IL, 62025",Southern Baptist,MO,
Faith In Action,618-692-0480,62025,"PO Box 255, Edwardsville, IL, 62025",Other,MO,
First Baptist Church,618-656-1008,62025,"534 Saint Louis St, Edwardsville, IL, 62025",American Baptist,MO,
First Christian Church,618-656-7498,62025,"310 S Main St, Edwardsville, IL, 62025",Christian (Disciples of Christ),MO,
First Presbyterian Church,618-656-4550,62025,"PO Box 66, Edwardsville, IL, 62025",Presbyterian Church (U.S.A.),MO,
Holiday Shores Baptist Club,618-377-7729,62025,"6521 Moro Rd, Edwardsville, IL, 62025",Southern Baptist,MO,
Immanuel United Church Of Christ,618-633-2277,62025,"5838 Staunton Rd, Edwardsville, IL, 62025",United Church of Christ,MO,
Immanuel United Methodist Church,618-656-4648,62025,"800 N Main St, Edwardsville, IL, 62025",United Methodist,MO,
Jehovahs Witnesses,618-656-1216,62025,"221 S Myrtle St, Edwardsville, IL, 62025",Jehovah's Witnesses,MO,
Leclaire Christian Church,618-656-0918,62025,"1914 Esic Dr, Edwardsville, IL, 62025",Church of Christ,MO,
Metro Baptist Church,618-692-9863,62025,"3551 Ridge View Rd, Edwardsville, IL, 62025",Southern Baptist,MO,
Mount Joy Missionary Baptist Church,618-656-0845,62025,"327 Olive St, Edwardsville, IL, 62025",Baptist,MO,
Eldred Baptist Church,217-983-2841,62027,"233 Cedar St, Eldred, IL, 62027",American Baptist,MO,
First Church Christ Scientist,618-374-2591,62028,"PO Box 147, Elsah, IL, 62028",Christian Science,MO,
Fieldon United Church Of Christ,618-376-4641,62031,"PO Box 70, Fieldon, IL, 62031",United Church of Christ,MO,
First Baptist Church,618-376-6109,62031,"PO Box 91, Fieldon, IL, 62031",Southern Baptist,MO,
Fillmore First Baptist Church,217-538-2020,62032,"PO Box 93, Fillmore, IL, 62032",Southern Baptist,MO,
Full Gospel Church,217-538-2540,62032,"364 N 7th Ln, Fillmore, IL, 62032",Nondenominational,MO,
St Matthew Lutheran Church,217-538-2535,62032,"116 N Main St, Fillmore, IL, 62032",Lutheran,MO,
Vanburensburg Community Baptist Church,618-580-3298,62032,"2256 Burg Trl, Fillmore, IL, 62032",Southern Baptist,MO,
1st Baptist Church Gillespie,217-839-3788,62033,"820 Broadway St, Gillespie, IL, 62033",Baptist,MO,
First Christian Church,217-839-2796,62033,"PO Box 112, Gillespie, IL, 62033",Church of Christ,MO,
First United Methodist Church,217-839-2038,62033,"PO Box 207, Gillespie, IL, 62033",United Methodist,MO,
Praise Assembly Of God Church,217-839-3855,62033,"209 Montgomery St, Gillespie, IL, 62033",Assemblies of God,MO,
Redeemer Lutheran Church,217-839-2717,62033,"206 W Spruce St, Gillespie, IL, 62033",Lutheran - Missouri Synod,MO,
St John Lutheran Church,618-836-7546,62033,"110 W Chestnut St, Gillespie, IL, 62033",Evangelical Lutheran in America,MO,
Sts Simon & Jude Church,217-839-3456,62033,"304 N Macoupin St, Gillespie, IL, 62033",Roman Catholic,MO,
Trinity Baptist Church,217-839-3667,62033,"502 S Macoupin St, Gillespie, IL, 62033",Southern Baptist,MO,
Zion Lutheran Church,217-839-2500,62033,"107 W Elm St, Gillespie, IL, 62033",Evangelical Lutheran in America,MO,
Christian Shiloh Church,618-288-1850,62034,"57 Sunset Ave, Glen Carbon, IL, 62034",Other,MO,
Church Of Latter Day Saints,618-288-3193,62034,"2250 S State Route 157, Glen Carbon, IL, 62034",Mormon,MO,
Cornerstone Assembly Of God,618-288-6988,62034,"129 Steiss St, Glen Carbon, IL, 62034",Assemblies of God,MO,
Faith Baptist Church,618-288-6411,62034,"3899 S State Route 159, Glen Carbon, IL, 62034",General Baptist,MO,
Gateway Family Church,618-288-7740,62034,"97 Oaklawn Rd, Glen Carbon, IL, 62034",Nondenominational,MO,
Glen Carbon First Baptist Church,618-288-5110,62034,"PO Box 586, Glen Carbon, IL, 62034",Southern Baptist,MO,
Glenview Church Of Nazarene,618-288-6492,62034,"107 Mark Trail Dr, Glen Carbon, IL, 62034",Nazarene,MO,
Glenview Nazarene Church,618-288-5037,62034,"PO Box 368, Glen Carbon, IL, 62034",Nazarene,MO,
Grace Ministries Baptist Church,618-344-6254,62034,"PO Box 527, Glen Carbon, IL, 62034",Southern Baptist,MO,
LifePoint,618-288-9810,62034,"129 Steiss, Glen Carbon, IL, 62034",Nondenominational,MO,
New Bethel United Methodist Church,618-288-5700,62034,"131 N Main St, Glen Carbon, IL, 62034",United Methodist,MO,
St Cecilia Family Life Center,618-288-5523,62034,"155 N Main St, Glen Carbon, IL, 62034",Roman Catholic,MO,
St James Lutheran Church,618-288-6120,62034,"146 N Main St, Glen Carbon, IL, 62034",Lutheran - Missouri Synod,MO,
St Thomas Episcopal Church,618-288-5620,62034,"182 Summit Ave, Glen Carbon, IL, 62034",Episcopal,MO,
The Bridge Free Methodist Church,6182880011,62034,"129 Steiss Street, Glen Carbon, IL, 62034",Methodist,MO,
The Well United Church Of Christ,618-288-5009,62034,"180 Cottonwood Rd, Glen Carbon, IL, 62034",United Church of Christ,MO,
Christian Science Church,618-466-7018,62035,"1430 W Delmar Ave, Godfrey, IL, 62035",Christian Science,MO,
Church Of Christ,618-466-4081,62035,"6412 Humbert Rd, Godfrey, IL, 62035",Church of Christ,MO,
Church Of Latter Day Saints,618-466-4352,62035,"6500 Humbert Rd, Godfrey, IL, 62035",Mormon,MO,
Community Congregational United Church Of Christ,618-466-3640,62035,"PO Box 214, Godfrey, IL, 62035",United Church of Christ,MO,
Evangelical United Church Of Christ,618-466-6077,62035,"1212 W Homer M Adams Pkwy, Godfrey, IL, 62035",United Church of Christ,MO,
Faith Baptist Church,618-462-1072,62035,"7505 Humbert Rd, Godfrey, IL, 62035",Baptist,MO,
Faith Fellowship,618-466-8510,62002,"4719 Seminary Road, Alton, IL, 62002",Nondenominational,MO,
Faith Lutheran Church,618-466-3833,62035,"6809 Godfrey Rd, Godfrey, IL, 62035",Lutheran - Missouri Synod,MO,
First Baptist Church Godfrey,618-466-2080,62035,"4710 N Alby Rd, Godfrey, IL, 62035",Baptist,MO,
First United Methodist Church,618-466-3624,62035,"PO Box 206, Godfrey, IL, 62035",Methodist,MO,
Godfrey Baptist Church,618-466-2633,62035,"1601 W Delmar Ave, Godfrey, IL, 62035",American Baptist,MO,
Godfrey Baptist Church,618-466-1573,62035,"4712 N Alby Rd, Godfrey, IL, 62035",Southern Baptist,MO,
Gospel Tabernacle,618-466-7016,62035,"2727 Saint Ambrose Dr, Godfrey, IL, 62035",Other,MO,
Harmony Baptist Church,618-466-2631,62035,"3014 W Delmar Ave, Godfrey, IL, 62035",Baptist,MO,
Hillcrest Church Of The Nazarene,618-462-2162,62035,"1800 W Delmar Ave, Godfrey, IL, 62035",Nazarene,MO,
Northside Assembly Of God Church,618-466-0466,62035,"4836 N Alby Rd, Godfrey, IL, 62035",Assemblies of God,MO,
Resurrection Lutheran Church,618-466-2788,62035,"1211 W Homer M Adams Pkwy, Godfrey, IL, 62035",Evangelical Lutheran in America,MO,
River Of Live Community Baptist Church,618-467-2700,62035,"1414 W Delmar Ave, Godfrey, IL, 62035",American Baptist,MO,
St Ambrose Church,618-466-2921,62035,"820 W Homer M Adams Pkwy, Godfrey, IL, 62035",Roman Catholic,MO,
United Methodist Village,618-467-0191,62035,"4601 Wesley Way, Godfrey, IL, 62035",Methodist,MO,
Batchtown United Methodist Church,618-376-7301,62037,"RR 1 Box 168B, Grafton, IL, 62037",United Methodist,MO,
First Baptist Church,618-786-3379,62037,"PO Box 288, Grafton, IL, 62037",Baptist,MO,
Grafton Full Gospel Church,618-786-3474,62037,"PO Box 116, Grafton, IL, 62037",Interdenominational,MO,
Rosedale United Methodist Church,618-786-3757,62037,"PO Box 246, Grafton, IL, 62037",United Methodist,MO,
St Patricks Church,618-786-3512,62037,"PO Box 218, Grafton, IL, 62037",Roman Catholic,MO,
All Nations Deliverance Ministry,618-876-7469,62040,"PO Box 544, Granite City, IL, 62040",Nondenominational,MO,
Bethel Chapel Free Pentecostal Church,618-877-1618,62040,"2445 Ohio Ave, Granite City, IL, 62040",Pentecostal,MO,
Bethel Community Church,618-797-1010,62040,"2450 Stratford Ln, Granite City, IL, 62040",Evangelical Free,MO,
Bethesda Baptist Church,618-877-0721,62040,"3035 Nameoki Dr, Granite City, IL, 62040",Southern Baptist,MO,
Briarcliff Pentecostal Church,618-451-1555,62040,"1120 W Pontoon Rd, Granite City, IL, 62040",Pentecostal,MO,
Bromley Pentecostal Church Of God,618-876-2313,62040,"PO Box 1243, Granite City, IL, 62040",Pentecostal,MO,
Calvary Granite City Baptist Church,618-877-0066,62040,"3000 Washington Ave, Granite City, IL, 62040",Southern Baptist,MO,
Calvary Life Church,618-931-4106,62040,"4650 Maryville Rd, Granite City, IL, 62040",Pentecostal,MO,
Calvary Lighthouse Church God,618-876-1446,62040,"1205 W Pontoon Rd, Granite City, IL, 62040",Other,MO,
Cedarview General Baptist,618-931-5330,62040,"3716 Ruth Drive, Granite City, IL, 62040",General Baptist,MO,
Central Baptist Church,618-931-0964,62040,"3940 Highway 111, Granite City, IL, 62040",Baptist,MO,
Central Christian Church,618-876-0532,62040,"2020 Johnson Rd, Granite City, IL, 62040",Christian (Disciples of Christ),MO,
Central Free Methodist Church,618-931-5777,62040,"4150 South St, Granite City, IL, 62040",Methodist,MO,
Christ Gospel Church Inc,618-877-5320,62040,"PO Box 1613, Granite City, IL, 62040",Pentecostal,MO,
Church God In Christ Congregational,618-451-9911,62040,"1200 Meridian Ave, Granite City, IL, 62040",Interdenominational,MO,
Church Of Christ,618-877-6876,62040,"2130 Clark Ave, Granite City, IL, 62040",Church of Christ,MO,
Church Of Latter Day Saints,618-398-9955,62040,"4580 De Lynn Dr, Granite City, IL, 62040",Mormon,MO,
Church Of Latter Day Saints,618-451-4834,62040,"3703 Nameoki Rd, Granite City, IL, 62040",Mormon,MO,
City Temple Assembly Of God Church,618-931-1565,62040,"4751 Maryville Rd, Granite City, IL, 62040",Assemblies of God,MO,
Concordia Lutheran Church,618-451-9925,62040,"2305 Grand Ave, Granite City, IL, 62040",Lutheran - Missouri Synod,MO,
Bethlehem Tabernacle,217-368-2042,62044,"PO Box 295, Greenfield, IL, 62044",United Pentecostal,MO,
Charity Southern Baptist Church,217-368-2547,62044,"305 Pine St, Greenfield, IL, 62044",Southern Baptist,MO,
Faith Bible Church,217-368-3428,62044,"PO Box 226, Greenfield, IL, 62044",Interdenominational,MO,
Fayette Baptist Church,217-368-2358,62044,"1003 Green St, Greenfield, IL, 62044",Southern Baptist,MO,
First Baptist Church,217-368-2690,62044,"508 Mulberry St, Greenfield, IL, 62044",American Baptist,MO,
Grace Mission Baptist Church,217-368-2441,62044,"RR 2 Box 115, Greenfield, IL, 62044",Southern Baptist,MO,
Greenfield United Methodist Church,217-368-2366,62044,"PO Box 282, Greenfield, IL, 62044",United Methodist,MO,
St Michael Church,217-368-2176,62044,"411 Sheffield St, Greenfield, IL, 62044",Roman Catholic,MO,
St Michael Hall,217-368-2081,62044,"1011 Chestnut St, Greenfield, IL, 62044",Roman Catholic,MO,
Church Of Christ,618-232-1260,62045,"PO Box 35, Hamburg, IL, 62045",Church of Christ,MO,
New Life Christan Baptist Fellowship,618-877-3227,62046,"PO Box 219, Hamel, IL, 62046",Southern Baptist,MO,
St Paul Lutheran Church,618-633-2209,62046,"PO Box 247, Hamel, IL, 62046",Lutheran - Missouri Synod,MO,
First Presbyterian Church,618-576-2238,62047,"PO Box 523, Hardin, IL, 62047",Presbyterian Church (U.S.A.),MO,
Lighthouse Baptist Mission Church,618-576-9085,62047,"RR 1 Box B19, Hardin, IL, 62047",Missionary Baptist,MO,
St Norberts Church,618-576-2517,62047,"PO Box C, Hardin, IL, 62047",Roman Catholic,MO,
St Paul Lutheran Church,618-653-4649,62047,"PO Box 429, Hardin, IL, 62047",Lutheran - Missouri Synod,MO,
Assembly Of God Church,618-254-9467,62048,"PO Box 6, Hartford, IL, 62048",Assemblies of God,MO,
E Maple St Church Of Christ,618-254-8000,62048,"137 E Maple St, Hartford, IL, 62048",Church of Christ,MO,
East Alton Pentecostal Church,618-254-0837,62048,"506 S Delmar Ave, Hartford, IL, 62048",Pentecostal,MO,
First Baptist Church,618-254-3377,62048,"301 N Delmar Ave, Hartford, IL, 62048",American Baptist,MO,
Hartford United Methodist Church,618-251-4109,62048,"PO Box 5, Hartford, IL, 62048",United Methodist,MO,
Calvary Baptist Church,217-532-3035,62049,"1001 Rountree St, Hillsboro, IL, 62049",Southern Baptist,MO,
First Christian Church,217-532-3461,62049,"210 School St, Hillsboro, IL, 62049",Christian (Disciples of Christ),MO,
First United Pentecostal Church,217-532-5368,62049,"2101 Klar Ave, Hillsboro, IL, 62049",United Pentecostal,MO,
Hillsboro First Baptist Church,217-532-3823,62049,"209 E Kinkead Rd, Hillsboro, IL, 62049",American Baptist,MO,
Hillsboro Free Methodist Church,217-532-2216,62049,"1400 Seymour Ave, Hillsboro, IL, 62049",Methodist,MO,
Hillsboro Presbyterian Church,217-532-2171,62049,"Hillsboro, IL, 62049",Presbyterian Church (U.S.A.),MO,
Hillsboro United Methodist Church,217-532-3734,62049,"PO Box 26, Hillsboro, IL, 62049",United Methodist,MO,
Our Savior Lutheran Church,217-532-3463,62049,"510 E Tremont St, Hillsboro, IL, 62049",Lutheran - Missouri Synod,MO,
Redemption Assembly Of God Church,217-532-6671,62049,"PO Box 543, Hillsboro, IL, 62049",Assemblies of God,MO,
St Agnes Church,217-532-5288,62049,"PO Box 98, Hillsboro, IL, 62049",Roman Catholic,MO,
St James Missionary Baptist Church,217-532-5549,62049,"PO Box 418, Hillsboro, IL, 62049",Southern Baptist,MO,
St Paul Lutheran Church,217-532-2353,62049,"PO Box 266, Hillsboro, IL, 62049",Evangelical Lutheran in America,MO,
Hillview Baptist Church,217-945-6238,62050,"PO Box 127, Hillview, IL, 62050",Southern Baptist,MO,
